"字典名称不得为空","Dictionary name is required"
"字典类型不得为空","Dictionary type is required"
"该字典类型已存在","Dictionary type already exists"
"该字典已被使用","Dictionary is already in use"
"标签不得为空","Label is required"
"键值不得为空不得为空","Value is required"
"排序值不得为空","Sort value is required"
"该键值已存在","Value already exists"
"配置名称不得为空","Config name is required"
"键名不得为空","Key name is required"
"键值不得为空","Key value is required"
"配置类型不得为空","Config type is required"
"前置不得为空","Prefix is required"
"该配置已存在","Config already exists"
"数据获取失败：%s","Failed to get data: %s"
"数据获取失败","Failed to get data"
"上级部门选择异常","Invalid parent department"
"部门名称不得为空","Department name is required"
"负责人不得为空","Leader is required"
"该部门名称已存在","Department name already exists"
"该部门有下级部门，不可删除","Department has child departments, cannot be deleted"
"不可将自己设置为上级部门","Cannot set itself as parent department"
"不可将子孙部门设置为上级部门","Cannot set a sub-department as parent department"
"该部门下存在用户，无法删除","Department has users, cannot be deleted"
"该部门已被角色绑定，无法删除","Department is bound to a role, cannot be deleted"
"角色名称不得为空","Role name is required"
"角色状态不得为空","Role status is required"
"角色标识不得为空","Role key is required"
"角色排序不得为空","Role sort is required"
"该角色类型已存在","Role type already exists"
"超级管理员不支持该操作","Operation not supported for the super admin"
"由用户存在，不可删除","Role has assigned users, cannot be deleted"
"岗位名称不得为空","Post name is required"
"岗位编码不得为空","Post code is required"
"岗位排序不得为空","Post sort is required"
"岗位状态不得为空","Post status is required"
"岗位名称已存在","Post name already exists"
"该岗位下存在用户，无法删除","Post has assigned users, cannot be deleted"
"用户名不得为空","Username is required"
"用户昵称不得为空","Nickname is required"
"用户联系电话不得为空","Contact phone is required"
"用户邮箱不得为空","Email is required"
"用户部门不得为空","Department is required"
"用户密码不得为空","Password is required"
"用户名已存在","Username already exists"
"用户昵称已存在","Nickname already exists"
"用户联系电话已存在","Contact phone already exists"
"用户邮箱已存在","Email already exists"
"用户邮箱格式错误","Invalid email format"
"用户状态不得为空","User status is required"
"新密码不得为空","New password is required"
"密码错误","Incorrect password"
"账户不存在","Account does not exist"
"头像上传失败","Failed to upload avatar"
"头像上传失败：%s","Failed to upload avatar: %s"
"验证码错误","Incorrect captcha"
"退出成功","Logout success"
"登录操作","Login"
"退出操作","Logout"
"验证码获取失败","Failed to get captcha"
"验证码获取失败：%s","Failed to get captcha: %s"
"该账户禁止删除","This account cannot be deleted"
"该账户尚未分配角色","No role assigned to this account"
"登录失败次数过多，请稍后再试","Too many login failures, please try again later"
"上级菜单不得为空","Parent menu is required"
"菜单标题不得为空","Menu title is required"
"菜单类型不得为空","Menu type is required"
"菜单排序不得为空","Menu sort is required"
"该菜单有下级，不可删除","Menu has child items, cannot be deleted"
"该账户无授权功能可用，请联系管理员","No authorized functions available, please contact the administrator"
"路由地址已存在，请重新输入","Route path already exists, please re-enter"
"请选择表","Please select a table"
"导入失败，不可表重复导入相同的表","Import failed, the same table cannot be imported twice"
"表数据导入失败：%s","Failed to import table data: %s"
"表数据导入失败","Failed to import table data"
"model模版读取失败","Failed to read model template"
"model模版读取失败：%s","Failed to read model template: %s"
"api模版读取失败","Failed to read api template"
"api模版读取失败：%s","Failed to read api template: %s"
"js模版读取失败","Failed to read js template"
"js模版读取失败：%s","Failed to read js template: %s"
"router模版读取失败","Failed to read router template"
"router模版读取失败：%s","Failed to read router template: %s"
"dto模版读取失败","Failed to read dto template"
"dto模版读取失败：%s","Failed to read dto template: %s"
"service模版读取失败","Failed to read service template"
"service模版读取失败：%s","Failed to read service template: %s"
"创建目录失败：%s","Failed to create directory: %s"
"创建目录失败","Failed to create directory"
"模板解析异常","Template parse error"
"模板解析异常：%s","Template parse error: %s"
"接口文件路径获取异常：%s","Failed to get api file path: %s"
"接口文件路径获取异常","Failed to get api file path"
"api文件解析异常：%s","Failed to parse api file: %s"
"api文件解析异常","Failed to parse api file"
"该等级名称和对应类型已存在!","Level name and type already exist!"
"等级名称不得为空","Level name is required"
"等级类型不得为空","Level type is required"
"等级不得为空","Level is required"
"等级已被使用","Level is already in use"
"手机号加密失败：%s","Failed to encrypt phone: %s"
"手机号加密失败","Failed to encrypt phone"
"邮箱加密失败：%s","Failed to encrypt email: %s"
"邮箱加密失败","Failed to encrypt email"
"邮箱或手机号至少需要一样","Email or phone is required"
"手机号和区号需同时输入","Phone and country code must be entered together"
"邮箱格式错误","Invalid email format"
"手机号格式错误","Invalid phone number"
"账号：%s 已存在","Account: %s already exists"
"该手机号已被其他用户使用，不得使用！","Phone number is already used by another user"
"该邮箱已被其他用户使用，不得使用！","Email is already used by another user"
"用户行为类型不得为空","User behavior type is required"
"用户编号","User ID"
"推荐吗异常：%s","Recommend code error: %s"
"注册异常","Registration error"
"国家名称不得为空","Country name is required"
"区号不得为空","Country code is required"
"状态不得为空","Status is required"
"该国家名称已存在","Country name already exists"
"该国家区号已存在","Country code already exists"
"中国大陆","China Mainland"
"中国台湾","China Taiwan"
"中国澳门","China Macau"
"中国香港","China Hong Kong"
"新加坡","Singapore"
"加拿大","Canada"
"韩国","South Korea"
"日本","Japan"
"泰国","Thailand"
"缅甸","Myanmar"
"老挝","Laos"
"澳大利亚","Australia"
"俄罗斯","Russia"
"书籍不存在","Book not found"
"书名不得为空","Book name is required"
"已存在同名书籍","A book with the same name already exists"
"评分需在 1~5 之间","Rating must be between 1 and 5"
"帖子不存在或已删除","Post not found or has been deleted"
"帖子正文需在 5000~10000 字之间","Post content must be between 5000 and 10000 characters"
"帖子标题不得为空","Post title is required"
"评论不存在","Comment not found"
"书架记录不存在","Bookshelf record not found"
"无权操作该数据","No permission to operate on this data"
"不支持该互动类型","Interaction type not supported"
"关联小说不存在","Related novel not found"
"该书已在书架上","This book is already on the bookshelf"
"书籍分类不得为空","Book category is required"
"父评论不属于该帖子","Parent comment does not belong to this post"
"书名不能超过 100 字","Book name cannot exceed 100 characters"
"作者名不能超过 64 字","Author name cannot exceed 64 characters"
